 I enjoy learning mathematics,   I feel confident when solving math problems ,  Mathematics is useful in real life  ,  I get anxious during mathematics lessons  ,  I believe I can perform well in mathematics  ,  There are enough mathematics textbooks for all students  ,"  The school provides mathematical instruments (rulers, compasses, sets)  ",  Teachers use relevant teaching aids like charts and models  ,  Students have access to practice tests and past papers for mathematics  ,  Learning materials are updated to reflect the current syllabus  ,NAME OF THE SCHOOL.,SUB-COUNTY,COUNTY,GENDER
Neutral,Agree,Strongly agree,Neutral,Strongly agree,Agree,Strongly Disagree,Disagree,Strongly Agree,Strongly agree,Ojola_Mixed,Wagai ,Siaya ,Male
Strongly Agree,Disagree,Strongly agree,Strongly Agree,Strongly agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly agree,Ojola_Mixed,Wagai ,Siaya ,Male
Neutral,Agree,Strongly agree,Disagree,Strongly agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly agree,Ojola_Mixed,Wagai ,Siaya ,Female
Neutral,Agree,Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly agree,Ojola_Mixed,Wagai ,Siaya ,Female
Strongly Agree,Agree,Strongly agree,Neutral,Strongly agree,Strongly Disagree,Strongly Disagree,Neutral,Strongly Agree,Strongly agree,Ojola_Mixed,Wagai ,Siaya ,Male
Neutral,Disagree,Neutral,Strongly Agree,Strongly agree,Neutral,Strongly Disagree,Strongly Disagree,Agree,Strongly agree,Ojola_Mixed,Wagai ,Siaya ,Female
Neutral,Neutral,Strongly agree,Disagree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly agree,Ojola_Mixed,Wagai ,Siaya ,Female
Neutral,Neutral,Agree,Disagree,Strongly agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly agree,Ojola_Mixed,Wagai ,Siaya ,Female
Agree,Neutral,Agree,Strongly Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Lions_Mixed,Kisumu central ,Kisumu ,Female
Agree,Strongly agree,Strongly agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Lions_Mixed,Kisumu central ,Kisumu ,Male
Neutral,Disagree,Agree,Agree,Strongly agree,Agree,Agree,Neutral,Neutral,Agree,Lions_Mixed,Kisumu central ,Kisumu ,Female
Agree,Strongly agree,Agree,Neutral,Agree,Neutral,Disagree,Strongly Agree,Neutral,Agree,Lions_Mixed,Kisumu central ,Kisumu ,Male
Strongly Agree,Strongly agree,Agree,Strongly Disagree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly agree,Lions_Mixed,Kisumu central ,Kisumu ,Male
Agree,Agree,Agree,Agree,Strongly agree,Neutral,Strongly Agree,Disagree,Neutral,Neutral,Lions_Mixed,Kisumu central ,Kisumu ,Female
Strongly Agree,Agree,Neutral,Agree,Agree,Agree,Strongly Agree,Strongly Disagree,Neutral,Neutral,Lions_Mixed,Kisumu central ,Kisumu ,Female
Neutral,Agree,Agree,Agree,Neutral,Agree,Agree,Strongly Disagree,Neutral,Neutral,Lions_Mixed,Kisumu central ,Kisumu ,Male
Agree,Neutral,Disagree,Agree,Agree,Disagree,Strongly Disagree,Disagree,Agree,Neutral,Magunga_Mixed,Nyakach,Kisumu,Male
Disagree,Disagree,Neutral,Agree,Neutral,Neutral,Strongly Disagree,Disagree,Agree,Agree,Magunga_Mixed,Nyakach,Kisumu,Male
Strongly Agree,Agree,Strongly agree,Disagree,Strongly agree,Agree,Disagree,Disagree,Agree,Agree,Magunga_Mixed,Nyakach,Kisumu,Female
Agree,Agree,Strongly agree,Disagree,Agree,Agree,Disagree,Neutral,Agree,Neutral,Magunga_Mixed,Nyakach,Kisumu,Male
Agree,Strongly agree,Agree,Disagree,Strongly agree,Strongly Agree,Disagree,Neutral,Agree,Neutral,Magunga_Mixed,Nyakach,Kisumu,Female
Disagree,Disagree,Agree,Agree,Neutral,Agree,Disagree,Agree,Agree,Neutral,Magunga_Mixed,Nyakach,Kisumu,Female
Agree,Agree,Strongly agree,Disagree,Strongly agree,Agree,Disagree,Agree,Agree,Agree,Magunga_Mixed,Nyakach,Kisumu,Female
Strongly Agree,Strongly agree,Agree,Strongly Disagree,Strongly disagree,Strongly Agree,Agree,Agree,Strongly Disagree,Strongly agree,Lions_Mixed,Kisumu central ,Kisumu,Male
Agree,Neutral,Agree,Disagree,Strongly agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly agree,Lions_Mixed,Kisumu central ,Kisumu,Female
Neutral,Agree,Disagree,Neutral,Neutral,Agree,Agree,Neutral,Agree,Agree,Lions_Mixed,Kisumu central ,Kisumu,Female
Strongly Agree,Strongly agree,Strongly agree,Strongly Disagree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly agree,Lions_Mixed,Kisumu central ,Kisumu,Male
Strongly Agree,Agree,Agree,Strongly Agree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Neutral,Lions_Mixed,Kisumu central ,Kisumu,Male
Agree,Strongly agree,Agree,Strongly Disagree,Neutral,Neutral,Agree,Agree,Strongly Agree,Strongly disagree,Lions_Mixed,Kisumu central ,Kisumu,Female
Strongly Agree,Agree,Strongly agree,Strongly Disagree,Strongly agree,Agree,Neutral,Agree,Agree,Agree,Lions_Mixed,Kisumu central ,Kisumu,Male
Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Lions_Mixed,Kisumu central ,Kisumu,Female
Strongly Agree,Agree,Agree,Disagree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly disagree,Lions_Mixed,Kisumu central ,Kisumu,Male
Neutral,Agree,Strongly agree,Strongly Disagree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,Lions_Mixed,Kisumu central ,Kisumu,Female
Strongly Agree,Agree,Strongly agree,Strongly Disagree,Strongly agree,Agree,Strongly Agree,Agree,Agree,Strongly agree,Lions_Mixed,KISUMU CENTAL,Kisumu,Male
Strongly Agree,Agree,Agree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly agree,Lions_Mixed,Kisumu central ,Kisumu,Male
Agree,Neutral,Neutral,Disagree,Agree,Agree,Agree,Agree,Agree,Neutral,Lions_Mixed,Kisumu central ,Kisumu,Female
Disagree,Neutral,Disagree,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Neutral,Lions_Mixed,Kisumu central ,Kisumu,Female
Strongly Agree,Strongly agree,Strongly agree,Strongly Disagree,Strongly disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly agree,Lions_Mixed,Kisumu central ,Kisumu,Male
Agree,Agree,Neutral,Neutral,Agree,Strongly Agree,Neutral,Agree,Agree,Neutral,Lions_Mixed,Kisumu central ,Kisumu,Female
Strongly Agree,Strongly agree,Strongly agree,Strongly Disagree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly agree,Lions_Mixed,Kisumu central ,Kisumu,Male
Strongly Agree,Strongly agree,Strongly agree,Strongly Disagree,Strongly agree,Agree,Neutral,Neutral,Strongly Agree,Strongly agree,Lions_Mixed,Kisumu central ,Kisumu,Male
Strongly Agree,Agree,Strongly agree,Strongly Disagree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly agree,Lions_Mixed,Kisumu central ,Kisumu,Male
Agree,Neutral,Disagree,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Agree,Lions_Mixed,Kisumu central ,Kisumu,Male
Neutral,Neutral,Agree,Disagree,Agree,Agree,Neutral,Neutral,Agree,Strongly agree,Lions_Mixed,Kisumu central ,Kisumu,Male
Neutral,Agree,Agree,Agree,Strongly agree,Agree,Strongly Disagree,Strongly Disagree,Agree,Strongly agree,Nduru_Mixed,Alego_Usonga,Siaya ,Female
Agree,Neutral,Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Strongly agree,Nduru_Mixed,Alego_Usonga,Siaya ,Male
Neutral,Agree,Agree,Neutral,Strongly agree,Agree,Strongly Disagree,Disagree,Strongly Agree,Strongly agree,Nduru_Mixed,Alego_Usonga,Siaya ,Female
Agree,Neutral,Strongly agree,Neutral,Agree,Neutral,Disagree,Strongly Disagree,Agree,Agree,Nduru_Mixed,Alego_Usonga,Siaya ,Female
Agree,Neutral,Disagree,Strongly Agree,Agree,Strongly Disagree,Disagree,Strongly Disagree,Agree,Neutral,Nduru_Mixed,Alego_Usonga,Siaya ,Female
Agree,Agree,Strongly agree,Agree,Strongly agree,Neutral,Strongly Disagree,Strongly Disagree,Neutral,Neutral,Nduru_Mixed,Alego_Usonga,Siaya ,Female
Neutral,Neutral,Strongly agree,Agree,Neutral,Strongly Disagree,Strongly Disagree,Disagree,Agree,Strongly agree,Nduru_Mixed,Alego_Usonga,Siaya ,Female
Disagree,Disagree,Agree,Neutral,Neutral,Disagree,Strongly Disagree,Disagree,Agree,Strongly agree,Nduru_Mixed,Alego_Usonga,Siaya ,Female
Agree,Neutral,Strongly agree,Neutral,Agree,Disagree,Strongly Disagree,Disagree,Agree,Agree,Nduru_Mixed,Alego_Usonga,Siaya ,Female
Strongly Agree,Agree,Agree,Neutral,Strongly agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly agree,Nduru_Mixed,Alego_Usonga,Siaya ,Male
Neutral,Agree,Strongly agree,Disagree,Strongly agree,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Agree,Nduru_Mixed,Alego_Usonga,Siaya ,Female
Strongly Agree,Agree,Strongly agree,Disagree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Nduru_Mixed,Alego_Usonga,Siaya ,Male
Neutral,Disagree,Agree,Agree,Strongly agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,Strongly disagree,Nduru_Mixed,Alego_Usonga,Siaya ,Female
Neutral,Disagree,Strongly agree,Agree,Neutral,Strongly Agree,Strongly Disagree,Strongly Disagree,Neutral,Agree,Nduru_Mixed,Alego_Usonga,Siaya ,Female
Neutral,Disagree,Agree,Strongly Agree,Neutral,Strongly Disagree,Strongly Disagree,Disagree,Strongly Agree,Strongly agree,Nduru_Mixed,Alego_Usonga,Siaya ,Female
Disagree,Neutral,Agree,Agree,Neutral,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Nduru_Mixed,Alego_Usonga,Siaya ,Female
Disagree,Agree,Agree,Neutral,Neutral,Disagree,Disagree,Disagree,Agree,Agree,Nduru_Mixed,Alego_Usonga,Siaya ,Female
Neutral,Disagree,Strongly agree,Neutral,Strongly agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Neutral,Nduru_Mixed,Alego_Usonga,Siaya ,Female
Agree,Agree,Strongly agree,Strongly Disagree,Strongly agree,Neutral,Strongly Disagree,Strongly Disagree,Neutral,Agree,Nduru_Mixed,Alego_Usonga,Siaya ,Female
Agree,Agree,Strongly agree,Strongly Disagree,Strongly agree,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Disagree,Nduru_Mixed,Alego_Usonga,Siaya ,Female
Neutral,Strongly disagree,Strongly agree,Neutral,Agree,Disagree,Strongly Disagree,Disagree,Strongly Agree,Strongly agree,Nduru_Mixed,Alego_Usonga,Siaya ,Female
Agree,Strongly agree,Agree,Agree,Strongly agree,Neutral,Strongly Disagree,Disagree,Agree,Strongly agree,Nduru_Mixed,Alego_Usonga,Siaya ,Female
Agree,Neutral,Strongly agree,Disagree,Strongly agree,Neutral,Disagree,Disagree,Strongly Agree,Agree,Nduru_Mixed,Alego_Usonga,Siaya ,Male
Agree,Agree,Strongly agree,Disagree,Strongly agree,Strongly Disagree,Strongly Disagree,Disagree,Agree,Strongly agree,Nduru_Mixed,Alego_Usonga,Siaya ,Male
Neutral,Agree,Strongly agree,Neutral,Agree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly agree,Nduru_Mixed,Alego_Usonga,Siaya ,Female
Neutral,Agree,Strongly agree,Strongly Disagree,Strongly agree,Strongly Disagree,Disagree,Strongly Disagree,Agree,Strongly agree,Nduru_Mixed,Alego_Usonga,Siaya ,Female
Neutral,Agree,Strongly agree,Agree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Neutral,Nduru_Mixed,Alego_Usonga,Siaya ,Female
Neutral,Neutral,Strongly agree,Neutral,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,Strongly disagree,Nduru_Mixed,Alego_Usonga,Siaya ,Female
Agree,Agree,Strongly agree,Disagree,Agree,Strongly Agree,Strongly Disagree,Agree,Agree,Neutral,Nduru_Mixed,Alego_Usonga,Siaya ,Female
Neutral,Neutral,Strongly agree,Neutral,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Agree,Nduru_Mixed,Alego_Usonga,Siaya ,Male
Strongly Agree,Strongly agree,Agree,Strongly Agree,Strongly agree,Neutral,Strongly Disagree,Strongly Disagree,Agree,Neutral,Nduru_Mixed,Alego_Usonga,Siaya ,Male
Neutral,Disagree,Strongly agree,Neutral,Agree,Neutral,Disagree,Agree,Agree,Agree,Nduru_Mixed,Alego_Usonga,Siaya ,Female
Neutral,Agree,Strongly agree,Disagree,Strongly agree,Agree,Strongly Disagree,Disagree,Agree,Strongly agree,Nduru_Mixed,Alego_Usonga,Siaya ,Male
Neutral,Disagree,Agree,Neutral,Agree,Disagree,Strongly Disagree,Disagree,Agree,Agree,Nduru_Mixed,Alego_Usonga,Siaya ,Female
Neutral,Strongly disagree,Agree,Strongly Disagree,Strongly agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Agree,Nduru_Mixed,Alego_Usonga,Siaya ,Female
Neutral,Disagree,Agree,Agree,Strongly agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Nduru_Mixed,Alego_Usonga,Siaya ,Female
Neutral,Agree,Strongly agree,Disagree,Strongly agree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Agree,Agree,Nduru_Mixed,Alego_Usonga,Siaya ,Male
Neutral,Strongly agree,Neutral,Disagree,Agree,Neutral,Strongly Agree,Strongly Disagree,Neutral,Disagree,Nduru_Mixed,Alego_Usonga,Siaya ,Female
Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Nduru_Mixed,Alego_Usonga,Siaya ,Male
Strongly Agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Agree,Disagree,Strongly Agree,Agree,Strongly agree,Nduru_Mixed,Alego_Usonga,Siaya ,Male
Strongly Disagree,Neutral,Agree,Strongly Disagree,Strongly agree,Agree,Agree,Disagree,Strongly Agree,Strongly agree,Nduru_Mixed,Alego_Usonga,Siaya ,Female
Strongly Agree,Strongly agree,Strongly agree,Strongly Agree,Strongly agree,Agree,Strongly Agree,Strongly Agree,Disagree,Neutral,Nduru_Mixed,Alego_Usonga,Siaya ,Female
Neutral,Neutral,Strongly agree,Agree,Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Agree,Nduru_Mixed,Alego_Usonga,Siaya ,Female
Strongly Agree,Agree,Neutral,Disagree,Strongly disagree,Strongly Disagree,Disagree,Neutral,Agree,Strongly agree,Nduru_Mixed,Alego_Usonga,Siaya ,Male
Neutral,Disagree,Strongly agree,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,Agree,Nduru_Mixed,Alego_Usonga,Siaya ,Female
Agree,Neutral,Agree,Neutral,Strongly agree,Strongly Disagree,Strongly Disagree,Disagree,Neutral,Agree,Nduru_Mixed,Alego_Usonga,Siaya ,Male
Neutral,Disagree,Strongly agree,Strongly Disagree,Agree,Neutral,Disagree,Disagree,Agree,Strongly agree,Nduru_Mixed,Alego_Usonga,Siaya ,Male
Neutral,Disagree,Strongly agree,Neutral,Agree,Neutral,Disagree,Agree,Disagree,Agree,Nduru_Mixed,Alego_Usonga,Siaya ,Male
Neutral,Disagree,Strongly agree,Disagree,Agree,Disagree,Disagree,Neutral,Agree,Agree,Nduru_Mixed,Alego_Usonga,Siaya ,Female
Neutral,Neutral,Strongly agree,Strongly Disagree,Strongly agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,Strongly agree,Nduru_Mixed,Alego_Usonga,Siaya ,Female
Disagree,Neutral,Neutral,Disagree,Neutral,Disagree,Strongly Disagree,Strongly Disagree,Neutral,Agree,Nduru_Mixed,Alego_Usonga,Siaya ,Female
Neutral,Neutral,Agree,Disagree,Agree,Disagree,Strongly Disagree,Disagree,Neutral,Agree,Nduru_Mixed,Alego_Usonga,Siaya ,Male
Strongly Agree,Strongly agree,Strongly agree,Strongly Disagree,Strongly agree,Agree,Disagree,Agree,Agree,Strongly agree,Nduru_Mixed,Alego_Usonga,Siaya ,Male
Disagree,Agree,Strongly agree,Neutral,Agree,Disagree,Strongly Disagree,Neutral,Strongly Agree,Agree,Nduru_Mixed,Alego_Usonga,Siaya ,Female
Agree,Agree,Agree,Disagree,Strongly agree,Disagree,Disagree,Neutral,Agree,Strongly agree,Nduru_Mixed,Alego_Usonga,Siaya ,Male
Neutral,Disagree,Agree,Neutral,Agree,Disagree,Disagree,Strongly Disagree,Strongly Agree,Agree,Nduru_Mixed,Alego_Usonga,Siaya ,Female
Agree,Neutral,Strongly agree,Neutral,Neutral,Neutral,Strongly Disagree,Strongly Disagree,Neutral,Disagree,Nduru_Mixed,Alego_Usonga,Siaya ,Female
Neutral,Neutral,Strongly agree,Agree,Agree,Disagree,Strongly Disagree,Neutral,Agree,Strongly agree,Nduru_Mixed,Alego_Usonga,Siaya ,Female
Neutral,Neutral,Strongly agree,Neutral,Agree,Strongly Disagree,Strongly Disagree,Neutral,Neutral,Strongly agree,Nduru_Mixed,Alego_Usonga,Siaya ,Female
Agree,Neutral,Strongly agree,Disagree,Strongly agree,Disagree,Strongly Disagree,Neutral,Agree,Strongly agree,Nduru_Mixed,Alego_Usonga,Siaya ,Female
Neutral,Neutral,Strongly agree,Neutral,Strongly agree,Strongly Agree,Disagree,Agree,Agree,Agree,Nduru_Mixed,Alego_Usonga,Siaya ,Female
Neutral,Neutral,Strongly agree,Neutral,Agree,Disagree,Strongly Disagree,Disagree,Agree,Agree,Nduru_Mixed,Alego_Usonga,Siaya ,Female
Neutral,Agree,Strongly agree,Neutral,Neutral,Agree,Strongly Disagree,Neutral,Strongly Agree,Agree,Nduru_Mixed,Alego_Usonga,Siaya ,Female
Neutral,Disagree,Strongly agree,Agree,Strongly agree,Strongly Agree,Strongly Disagree,Disagree,Agree,Agree,Nduru_Mixed,Alego_Usonga,Siaya ,Female
Disagree,Disagree,Agree,Neutral,Agree,Agree,Strongly Disagree,Disagree,Agree,Agree,Nduru_Mixed,Alego_Usonga,Siaya ,Female
Neutral,Neutral,Strongly agree,Neutral,Neutral,Strongly Agree,Strongly Disagree,Neutral,Strongly Agree,Agree,Nduru_Mixed,Alego_Usonga,Siaya ,Female
Neutral,Neutral,Strongly agree,Neutral,Strongly agree,Disagree,Disagree,Neutral,Strongly Agree,Strongly agree,Nduru_Mixed,Alego_Usonga,Siaya ,Female
Neutral,Disagree,Strongly agree,Neutral,Agree,Disagree,Strongly Disagree,Neutral,Agree,Strongly agree,Nduru_Mixed,Alego_Usonga,Siaya ,Female
Disagree,Neutral,Strongly agree,Neutral,Strongly disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Nduru_Mixed,Alego_Usonga,Siaya ,Male
Neutral,Neutral,Strongly agree,Neutral,Agree,Strongly Agree,Strongly Disagree,Agree,Agree,Agree,Nduru_Mixed,Alego_Usonga,Siaya ,Female
Neutral,Strongly disagree,Strongly agree,Neutral,Strongly agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,Agree,Nduru_Mixed,Alego_Usonga,Siaya ,Female
Neutral,Disagree,Agree,Neutral,Strongly agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Nduru_Mixed,Alego_Usonga,Siaya ,Male
Neutral,Disagree,Agree,Neutral,Strongly agree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Agree,Nduru_Mixed,Alego_Usonga,Siaya ,Male
Neutral,Disagree,Strongly agree,Disagree,Agree,Strongly Disagree,Strongly Disagree,Disagree,Agree,Neutral,Nduru_Mixed,Alego_Usonga,Siaya ,Female
Agree,Neutral,Strongly agree,Neutral,Strongly agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly agree,Nduru_Mixed,Alego_Usonga,Siaya ,Female
Strongly Disagree,Disagree,Neutral,Agree,Strongly agree,Strongly Agree,Neutral,Agree,Neutral,Agree,Nduru_Mixed,Alego_Usonga,Siaya ,Male
Agree,Agree,Strongly agree,Neutral,Strongly agree,Agree,Neutral,Neutral,Agree,Agree,Nduru_Mixed,Alego_Usonga,Siaya ,Male
Neutral,Agree,Agree,Neutral,Agree,Disagree,Disagree,Neutral,Agree,Agree,Nduru_Mixed,Alego_Usonga,Siaya ,Male
Strongly Agree,Agree,Agree,Strongly Disagree,Strongly agree,Agree,Disagree,Disagree,Agree,Agree,Nduru_Mixed,Alego_Usonga,Siaya ,Male
Disagree,Disagree,Agree,Neutral,Strongly agree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Agree,Nduru_Mixed,Alego_Usonga,Siaya ,Male
Agree,Strongly disagree,Strongly agree,Agree,Strongly agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Strongly disagree,Nduru_Mixed,Alego_Usonga,Siaya ,Female
Neutral,Agree,Strongly agree,Disagree,Agree,Neutral,Disagree,Agree,Disagree,Strongly agree,Nduru_Mixed,Alego_Usonga,Siaya ,Male
Neutral,Disagree,Strongly agree,Strongly Disagree,Strongly agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly agree,Nduru_Mixed,Alego_Usonga,Siaya ,Female
Neutral,Disagree,Agree,Agree,Neutral,Agree,Strongly Disagree,Agree,Strongly Disagree,Strongly agree,Nduru_Mixed,Alego_Usonga,Siaya ,Male
Disagree,Neutral,Strongly disagree,Neutral,Disagree,Disagree,Strongly Disagree,Neutral,Strongly Disagree,Strongly agree,Nduru_Mixed,Alego_Usonga,Siaya ,Male
Neutral,Disagree,Agree,Disagree,Strongly agree,Neutral,Strongly Disagree,Strongly Disagree,Neutral,Agree,Nduru_Mixed,Alego_Usonga,Siaya ,Female
Neutral,Neutral,Strongly agree,Neutral,Agree,Strongly Disagree,Strongly Disagree,Neutral,Neutral,Strongly agree,Nduru_Mixed,Alego_Usonga,Siaya ,Female
Agree,Neutral,Strongly agree,Disagree,Strongly agree,Disagree,Strongly Disagree,Neutral,Agree,Strongly agree,Nduru_Mixed,Alego_Usonga,Siaya ,Female
Neutral,Neutral,Strongly agree,Neutral,Strongly agree,Strongly Agree,Disagree,Agree,Agree,Agree,Nduru_Mixed,Alego_Usonga,Siaya ,Female
Neutral,Agree,Strongly agree,Neutral,Neutral,Agree,Strongly Disagree,Neutral,Strongly Agree,Agree,Nduru_Mixed,Alego_Usonga,Siaya ,Female
Neutral,Neutral,Strongly agree,Neutral,Neutral,Strongly Agree,Strongly Disagree,Neutral,Strongly Agree,Agree,Nduru_Mixed,Alego_Usonga,Siaya ,Female
Disagree,Neutral,Strongly agree,Neutral,Strongly disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Nduru_Mixed,Alego_Usonga,Siaya ,Male
Neutral,Neutral,Strongly agree,Neutral,Agree,Strongly Agree,Strongly Disagree,Agree,Agree,Agree,Nduru_Mixed,Alego_Usonga,Siaya ,Female
Neutral,Strongly disagree,Strongly agree,Neutral,Strongly agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,Agree,Nduru_Mixed,Alego_Usonga,Siaya ,Female
Neutral,Disagree,Agree,Neutral,Strongly agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Nduru_Mixed,Alego_Usonga,Siaya ,Male
Neutral,Disagree,Agree,Neutral,Strongly agree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Agree,Nduru_Mixed,Alego_Usonga,Siaya ,Male
Neutral,Disagree,Strongly agree,Disagree,Agree,Strongly Disagree,Strongly Disagree,Disagree,Agree,Neutral,Nduru_Mixed,Alego_Usonga,Siaya ,Female
Agree,Neutral,Strongly agree,Neutral,Strongly agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly agree,Nduru_Mixed,Alego_Usonga,Siaya ,Female
Strongly Disagree,Disagree,Neutral,Agree,Strongly agree,Neutral,Agree,Strongly Agree,Neutral,Agree,Nduru_Mixed,Alego_Usonga,Siaya ,Male
Neutral,Agree,Agree,Neutral,Agree,Disagree,Disagree,Neutral,Agree,Strongly agree,Nduru_Mixed,Alego_Usonga,Siaya ,Male
Disagree,Disagree,Agree,Neutral,Strongly agree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Agree,Nduru_Mixed,Alego_Usonga,Siaya ,Male
Neutral,Disagree,Strongly agree,Strongly Disagree,Strongly agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly agree,Nduru_Mixed,Alego_Usonga,Siaya ,Female
Neutral,Neutral,Agree,Disagree,Strongly agree,Neutral,Strongly Disagree,Neutral,Agree,Agree,Nduru_Mixed,Alego_Usonga,Siaya ,Female
Neutral,Disagree,Strongly disagree,Disagree,Neutral,Disagree,Disagree,Disagree,Strongly Disagree,Strongly disagree,Nduru_Mixed,Alego_Usonga,Siaya ,Female
Neutral,Strongly agree,Neutral,Disagree,Strongly agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Agree,Nduru_Mixed,Alego_Usonga,Siaya ,Male
Strongly Agree,Strongly disagree,Agree,Neutral,Agree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Disagree,Nduru_Mixed,Alego_Usonga,Siaya ,Male
Agree,Disagree,Strongly agree,Neutral,Strongly disagree,Neutral,Strongly Disagree,Disagree,Strongly Agree,Agree,Nduru_Mixed,Alego_Usonga,Siaya ,Female
Neutral,Disagree,,Strongly Disagree,Agree,Disagree,Strongly Disagree,Disagree,Agree,Strongly agree,Nduru_Mixed,Alego_Usonga,Siaya ,Male
Agree,Disagree,Strongly agree,Strongly Disagree,Strongly agree,Neutral,Strongly Disagree,Disagree,Strongly Agree,Strongly agree,Nduru_Mixed,Alego_Usonga,Siaya ,Female
Disagree,Neutral,Strongly disagree,Disagree,Strongly disagree,Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly disagree,Nduru_Mixed,Alego_Usonga,Siaya ,Female
Agree,Neutral,Strongly agree,Neutral,Strongly agree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Neutral,Nduru_Mixed,Alego_Usonga,Siaya ,Male
Neutral,Neutral,Strongly agree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Neutral,Nduru_Mixed,Alego_Usonga,Siaya ,Female
Neutral,Neutral,Strongly agree,Disagree,Agree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Neutral,Nduru_Mixed,Alego_Usonga,Siaya ,Female
