Name Of The School.,Sub-County,County,Gender,Attitude,Availability of learning materials
Kaudha_Mixed,Wagai,Siaya,Male,4.2,2.2
Kaudha_Mixed,Wagai,Siaya,Female,3.4,2.8
Kaudha_Mixed,Wagai,Siaya,Male,4.0,3.2
Kaudha_Mixed,Wagai,Siaya,Male,4.2,2.6
Kaudha_Mixed,Wagai,Siaya,Female,2.2,2.4
Kaudha_Mixed,Wagai,Siaya,Male,3.6,4.0
Kaudha_Mixed,Wagai,Siaya,Male,2.2,3.0
Kaudha_Mixed,Wagai,Siaya,Female,3.6,4.0
Kaudha_Mixed,Wagai,Siaya,Female,5.0,2.6
Kaudha_Mixed,Wagai,Siaya,Female,4.4,2.0
Kaudha_Mixed,Wagai,Siaya,Female,3.6,3.4
Kaudha_Mixed,Wagai,Siaya,Female,4.6,3.4
Kaudha_Mixed,Wagai,Siaya,Female,4.4,3.4
Kaudha_Mixed,Wagai,Siaya,Female,4.0,3.2
Kaudha_Mixed,Wagai,Siaya,Male,4.2,2.2
Kaudha_Mixed,Wagai,Siaya,Male,5.0,3.2
Budokomi_Mixed,BUSIA,Busia,Female,3.2,3.6
Nyalunya_Mixed,Wagai,Siaya,Male,3.0,2.6
Nyalunya_Mixed,Wagai,Siaya,Female,4.2,3.8
Nyalunya_Mixed,Wagai,Siaya,Male,3.8,3.4
Nyalunya_Mixed,Wagai,Siaya,Female,2.8,3.0
Nyalunya_Mixed,Wagai,Siaya,Male,4.2,2.6
Nyalunya_Mixed,Wagai,Siaya,Female,3.4,2.4
Nyalunya_Mixed,Wagai,Siaya,Female,3.8,3.4
Kaudha_Mixed,Wagai,Siaya,Female,4.6,2.8
Kaudha_Mixed,Wagai,Siaya,Female,3.2,2.6
Kaudha_Mixed,Wagai,Siaya,Female,1.8,3.6
Kaudha_Mixed,Wagai,Siaya,Female,3.6,3.2
Kaudha_Mixed,Wagai,Siaya,Female,4.4,4.0
Kaudha_Mixed,Wagai,Siaya,Female,4.4,2.6
Kaudha_Mixed,Wagai,Siaya,Female,4.2,4.0
Kaudha_Mixed,Wagai,Siaya,Female,4.6,3.8
Kaudha_Mixed,Wagai,Siaya,Female,4.2,1.8
Kaudha_Mixed,Wagai,Siaya,Female,4.4,2.4
Kaudha_Mixed,Wagai,Siaya,Female,4.6,2.2
Kaudha_Mixed,Wagai,Siaya,Female,3.2,3.8
Kaudha_Mixed,Wagai,Siaya,Female,4.2,4.2
Kaudha_Mixed,Wagai,Siaya,Female,4.4,3.2
Kaudha_Mixed,Wagai,Siaya,Male,5.0,4.2
Kaudha_Mixed,Wagai,Siaya,Female,5.0,3.6
Kaudha_Mixed,Wagai,Siaya,Female,4.0,3.0
Kaudha_Mixed,Wagai,Siaya,Female,4.4,2.8
Kaudha_Mixed,Wagai,Siaya,Female,4.25,3.4
Kaudha_Mixed,Wagai,Siaya,Male,4.6,3.6
Kaudha_Mixed,Wagai,Siaya,Female,4.6,1.8
Kaudha_Mixed,Wagai,Siaya,Male,4.0,3.0
Kaudha_Mixed,Wagai,Siaya,Female,3.8,2.2
Kaudha_Mixed,Wagai,Siaya,Female,4.2,3.2
Kaudha_Mixed,Wagai,Siaya,Female,4.2,3.0
Kaudha_Mixed,Wagai,Siaya,Female,4.2,2.0
Kaudha_Mixed,Wagai,Siaya,Female,4.2,3.2
Kaudha_Mixed,Wagai,Siaya,Male,5.0,3.6
Kaudha_Mixed,Wagai,Siaya,Male,4.8,3.0
Kaudha_Mixed,Wagai,Siaya,Male,2.4,2.0
Kaudha_Mixed,Wagai,Siaya,Male,4.6,3.4
Kaudha_Mixed,Wagai,Siaya,Male,3.0,2.4
Kaudha_Mixed,Wagai,Siaya,Female,3.0,3.8
Kaudha_Mixed,Wagai,Siaya,Male,3.4,2.0
Kaudha_Mixed,Wagai,Siaya,Male,2.6,2.2
Kaudha_Mixed,Wagai,Siaya,Male,2.2,2.0
Kaudha_Mixed,Wagai,Siaya,Male,5.0,5.0
Kaudha_Mixed,Wagai,Siaya,Female,3.0,4.2
Kaudha_Mixed,Wagai,Siaya,Female,5.0,2.6
Kaudha_Mixed,Wagai,Siaya,Male,3.6,2.0
Kaudha_Mixed,Wagai,Siaya,Male,4.6,2.2
Kaudha_Mixed,Wagai,Siaya,Male,4.2,5.0
Kaudha_Mixed,Wagai,Siaya,Male,4.6,2.6
Kaudha_Mixed,Wagai,Siaya,Male,4.8,4.6
Kaudha_Mixed,Wagai,Siaya,Female,2.8,3.0
Kaudha_Mixed,Wagai,Siaya,Male,3.2,2.2
Kaudha_Mixed,Wagai,Siaya,Male,3.2,2.8
Kaudha_Mixed,Wagai,Siaya,Male,4.0,4.0
Kaudha_Mixed,Wagai,Siaya,Female,4.0,3.0
Kaudha_Mixed,Wagai,Siaya,Male,4.0,4.4
Kaudha_Mixed,Wagai,Siaya,Male,4.0,2.8
Kaudha_Mixed,Wagai,Siaya,Male,3.0,3.0
Kaudha_Mixed,Wagai,Siaya,Male,4.2,3.75
Kaudha_Mixed,Wagai,Siaya,Female,4.2,3.2
Kaudha_Mixed,Wagai,Siaya,Female,3.6,3.8
Kaudha_Mixed,Wagai,Siaya,Female,4.2,4.2
Kaudha_Mixed,Wagai,Siaya,Female,3.4,2.2
Kaudha_Mixed,Wagai,Siaya,Female,3.0,3.8
Kaudha_Mixed,Wagai,Siaya,Male,4.6,3.2
Kaudha_Mixed,Wagai,Siaya,Male,3.6,4.0
Kaudha_Mixed,Wagai,Siaya,Male,3.8,2.4
Kaudha_Mixed,Wagai,Siaya,Male,4.0,3.2
Kaudha_Mixed,Wagai,Siaya,Male,4.2,4.0
Kaudha_Mixed,Wagai,Siaya,Female,3.6,3.4
Kaudha_Mixed,Wagai,Siaya,Female,3.2,1.8
Kaudha_Mixed,Wagai,Siaya,Female,4.6,3.0
Kaudha_Mixed,Wagai,Siaya,Female,3.8,4.2
Kaudha_Mixed,Wagai,Siaya,Female,3.8,3.6
Kaudha_Mixed,Wagai,Siaya,Female,4.25,1.6
Kaudha_Mixed,Wagai,Siaya,Female,3.4,3.0
Kaudha_Mixed,Wagai,Siaya,Female,3.6,2.8
Kaudha_Mixed,Wagai,Siaya,Female,4.2,2.6
Kaudha_Mixed,Wagai,Siaya,Male,3.0,4.2
Kaudha_Mixed,Wagai,Siaya,Male,3.0,3.4
Kaudha_Mixed,Wagai,Siaya,Male,3.8,3.6
Kaudha_Mixed,Wagai,Siaya,Male,4.4,3.4
Kaudha_Mixed,Wagai,Siaya,Female,4.0,2.4
Kaudha_Mixed,Wagai,Siaya,Female,4.4,2.4
Kaudha_Mixed,Wagai,Siaya,Female,3.6,3.4
Kaudha_Mixed,Wagai,Siaya,Female,3.8,2.8
Kaudha_Mixed,Wagai,Siaya,Female,3.4,3.4
Kaudha_Mixed,Wagai,Siaya,Male,2.6,3.6
Kaudha_Mixed,Wagai,Siaya,Female,3.2,3.8
Kaudha_Mixed,Wagai,Siaya,Male,3.2,3.2
Kaudha_Mixed,Wagai,Siaya,Male,3.8,3.4
Kaudha_Mixed,Wagai,Siaya,Female,4.0,3.2
Kaudha_Mixed,Wagai,Siaya,Female,3.6666666666666665,4.0
Kaudha_Mixed,Wagai,Siaya,Male,4.0,2.8
Kaudha_Mixed,Wagai,Siaya,Female,3.8,4.8
Kaudha_Mixed,Wagai,Siaya,Male,2.25,2.4
Kaudha_Mixed,Wagai,Siaya,Female,4.8,2.8
Kaudha_Mixed,Wagai,Siaya,Male,4.8,3.2
Budokomi_Mixed,Busia,Busia ,Male,4.2,3.4
Budokomi_Mixed,Busia,Busia,Male,4.8,3.8
Nyalunya_Mixed,Wagai ,Siaya,Male,3.4,3.2
Nyalunya_Mixed,Wagai,Siaya,Female,2.6,3.2
Nyalunya_Mixed,Wagai,Siaya,Male,3.6,3.6
Nyalunya_Mixed,Wagai ,Siaya,Male,4.4,3.4
Nyalunya_Mixed,Wagai ,Siaya,Male,3.8,3.6
Nyalunya_Mixed,Wagai ,Siaya,Male,3.0,3.4
Nyalunya_Mixed,Wagai ,Siaya,Male,4.0,3.6
Nyalunya_Mixed,Wagai ,Siaya,Male,3.6,3.4
Nyalunya_Mixed,Wagai ,Siaya,Male,3.4,4.4
Nyalunya_Mixed,Wagai ,Siaya,Male,4.6,2.6
Nyalunya_Mixed,Wagai ,Siaya,Male,3.0,2.2
Nyalunya_Mixed,Wagai,Siaya,Female,3.0,4.0
Nyalunya_Mixed,Wagai,Siaya,Female,3.6,3.4
Nyalunya_Mixed,Wagai ,Siaya,Female,2.8,1.8
Nyalunya_Mixed,Wagai ,Siaya,Male,3.6,2.2
Nyalunya_Mixed,Wagai ,Siaya,Female,2.6,2.2
Nyalunya_Mixed,Wagai ,Siaya ,Female,4.2,4.2
Nyalunya_Mixed,Wagai ,Siaya,Female,3.0,2.2
Nyalunya_Mixed,Wagai ,Siaya,Female,5.0,3.0
Nyalunya_Mixed,Wagai ,Siaya,Female,3.0,2.6
Nyalunya_Mixed,Wagai ,Siaya,Female,3.4,2.2
Nyalunya_Mixed,Wagai ,Siaya,Female,3.0,3.8
Nyalunya_Mixed,Wagai ,Siaya,Female,2.8,2.0
Nyalunya_Mixed,Wagai ,Siaya,Male,4.2,2.6
Nyalunya_Mixed,Wagai ,Siaya,Male,4.0,3.2
Nyalunya_Mixed,Wagai ,Siaya,Female,3.6,2.6
Nyalunya_Mixed,Wagai ,Siaya,Female,2.8,3.8
Nyalunya_Mixed,Wagai ,Siaya,Female,3.2,3.2
Nyalunya_Mixed,Wagai ,Siaya,Male,3.2,3.4
Nyalunya_Mixed,Wagai,Siaya,Female,3.4,3.8
Nyalunya_Mixed,Wagai ,Siaya,Female,4.8,3.0
Nyalunya_Mixed,Wagai ,Siaya,Female,4.2,3.0
Nyalunya_Mixed,Wagai ,Siaya,Female,4.0,3.0
Nyalunya_Mixed,Wagai ,Siaya,Female,3.2,2.8
Nyalunya_Mixed,Wagai ,Siaya,Female,4.2,4.2
Nyalunya_Mixed,Wagai ,Siaya,Female,3.8,3.5
Nyalunya_Mixed,Wagai ,Siaya,Female,3.8,2.8
Nyalunya_Mixed,Wagai ,Siaya,Male,4.4,4.0
Budokomi_Mixed,Busia,Busia,Male,4.2,3.4
Nyalunya_Mixed,Wagai ,Siaya,Female,3.4,2.4
Budokomi_Mixed,Busia,Busia,Male,4.2,3.4
Nyalunya_Mixed,Wagai ,Siaya,Male,3.75,3.0
Budokomi_Mixed,Busia,Busia,Male,4.2,3.4
Nyalunya_Mixed,Wagai,Siaya,Female,3.6,3.4
Budokomi_Mixed,Busia ,Busia ,Male,4.2,3.4
Nyalunya_Mixed,Wagai ,Siaya,Female,3.4,3.2
Budokomi_Mixed,Busia,Busia,Male,4.2,3.4
Budokomi_Mixed,Busia,Busia,Female,4.2,3.4
Nyalunya_Mixed,Wagai ,Siaya,Female,3.8,4.2
Budokomi_Mixed,Busia,Busia,Male,4.2,3.4
Budokomi_Mixed,Busia ,Busia,Male,4.2,3.4
Budokomi_Mixed,Busia ,Busia ,Male,4.2,3.4
Budokomi_Mixed,Busia ,Busia ,Male,3.8,4.0
Budokomi_Mixed,Busia,Busia ,Male,3.6,5.0
Budokomi_Mixed,busia,busia,Male,3.6,3.75
Budokomi_Mixed,Busia ,Busia ,Male,3.8,4.0
Budokomi_Mixed,busia,busia,Female,3.4,3.8
Budokomi_Mixed,Busia,Busia,Male,4.0,4.4
Budokomi_Mixed,busia,busia,Female,3.6,3.4
Budokomi_Mixed,Busia,Busia,Male,3.6,4.4
Budokomi_Mixed,Busia,Busia,Male,4.4,4.6
Budokomi_Mixed,Busia,Busia ,Female,4.2,5.0
Budokomi_Mixed,Busia ,Busia ,Female,4.2,5.0
Budokomi_Mixed,Busia,Busia,Male,3.8,4.2
Budokomi_Mixed,Busia,Busia,Male,4.2,4.2
Budokomi_Mixed,Busia,busia,Male,4.0,4.8
Budokomi_Mixed,Busia,busia,Female,4.0,4.4
Budokomi_Mixed,Busia ,Busia ,Male,3.8,4.8
Budokomi_Mixed,Busia,Busia ,Male,3.6,4.6
Budokomi_Mixed,Busia,Busia,Male,4.2,4.8
Budokomi_Mixed,Busia,Busiq,Male,4.2,4.6
Budokomi_Mixed,Busia,Busia,Male,4.2,5.0
Budokomi_Mixed,Busia,Busia,Male,4.2,5.0
Budokomi_Mixed,Busia,Busia,Male,4.2,5.0
Budokomi_Mixed,Busia ,Busia ,Female,4.2,5.0
Malele_Mixed,Wagai,Siaya,Female,3.8,4.2
Malele_Mixed,Wagai,Siaya,Male,4.8,3.4
Malele_Mixed,Wagai,Siaya,Female,4.6,4.0
Malele_Mixed,Wagai ,Siaya ,Male,4.8,3.2
Malele_Mixed,Wagai ,Siaya ,Male,3.6,3.6
Malele_Mixed,Wagai ,Siaya ,Male,3.2,3.8
Malele_Mixed,Wagai ,Siaya ,Male,3.6,2.2
Malele_Mixed,Wagai ,Siaya ,Male,3.0,3.2
Malele_Mixed,Wagai ,Siaya ,Male,3.0,3.4
Malele_Mixed,Wagai ,Siaya ,Female,4.0,3.6
Malele_Mixed,Wagai ,Siaya ,Male,4.4,3.8
Malele_Mixed,Wagai ,Siaya ,Female,4.2,2.6
Malele_Mixed,Wagai ,Siaya ,Female,4.8,3.4
Malele_Mixed,Wagai ,Siaya ,Female,4.2,4.2
Malele_Mixed,Wagai,Siaya ,Female,4.0,4.0
Malele_Mixed,Wagai,Siaya,Female,3.8,4.2
Malele_Mixed,Wagai,Siaya,Female,4.4,3.4
Malele_Mixed,Wagai,Siaya,Female,4.4,2.2
Malele_Mixed,Wagai,Siaya ,Female,4.4,2.6
Malele_Mixed,Wagai ,Siaya ,Female,4.4,3.2
Malele_Mixed,Wagai ,Siaya ,Female,4.4,3.2
Malele_Mixed,Wagai,Siaya,Female,4.0,3.4
Malele_Mixed,Wagai ,Siaya ,Female,4.8,3.6
Malele_Mixed,Wagai ,Siaya ,Female,4.6,3.2
Malele_Mixed,Wagai ,Siaya ,Female,4.0,2.6
Malele_Mixed,Wagai,Siaya,Female,3.0,2.6
Malele_Mixed,Wagai ,Siaya ,Female,4.0,2.6
Malele_Mixed,Wagai ,Siaya ,Female,4.0,2.8
Malele_Mixed,Wagai ,Siaya ,Female,2.6,2.8
Malele_Mixed,Wagai ,Siaya ,Female,3.6,2.6
Malele_Mixed,Wagai ,Siaya ,Female,4.2,2.6
Malele_Mixed,Wagai ,Siaya ,Female,3.4,2.6
Malele_Mixed,Wagai ,Siaya ,Male,4.2,1.8
Malele_Mixed,Wagai ,Siaya,Female,4.2,2.8
Malele_Mixed,Wagai ,Siaya ,Female,4.4,2.8
Malele_Mixed,Wagai ,Siaya,Female,4.2,3.8
Malele_Mixed,Wagai ,Siaya ,Male,4.4,4.0
Malele_Mixed,Wagai ,Siaya ,Male,4.2,2.6
Malele_Mixed,Wagai ,Siaya ,Male,3.6,2.8
Malele_Mixed,Wagai ,Siaya ,Female,4.2,2.6
Malele_Mixed,Wagai ,Siaya ,Male,4.4,3.2
Malele_Mixed,Wagai ,Siaya ,Male,2.6,2.2
Malele_Mixed,Wagai ,Siaya ,Female,4.2,2.4
Malele_Mixed,Wagai ,Siaya ,Male,4.6,2.6
Malele_Mixed,Wagai ,Siaya ,Female,4.6,2.4
Malele_Mixed,Wagai ,Siaya ,Female,2.6,2.2
Malele_Mixed,Wagai ,Siaya ,Female,3.6,2.4
Malele_Mixed,Wagai ,Siaya ,Female,4.8,1.4
Malele_Mixed,Wagai ,Siaya ,Female,4.4,2.6
Malele_Mixed,Wagai ,Siaya ,Female,4.4,2.2
Malele_Mixed,Wagai ,Siaya ,Female,4.4,3.4
Malele_Mixed,Wagai ,Siaya ,Female,3.6,3.0
Malele_Mixed,Wagai ,Siaya ,Female,3.0,1.4
Malele_Mixed,Wagai ,Siaya ,Female,4.2,2.0
Malele_Mixed,Wagai ,Siaya ,Female,4.2,2.0
Malele_Mixed,Wagai ,Siaya ,Male,4.6,3.8
Malele_Mixed,Wagai ,Siaya ,Female,3.8,2.2
Malele_Mixed,Wagai ,Siaya ,Female,4.4,3.8
Malele_Mixed,Wagai ,Siaya ,Male,4.4,3.4
Malele_Mixed,Wagai ,Siaya ,Female,4.8,2.6
Malele_Mixed,Wagai ,Siaya ,Female,4.8,2.6
Malele_Mixed,Wagai ,Siaya ,Female,3.0,3.4
Malele_Mixed,Wagai ,Siaya ,Female,3.0,3.2
Malele_Mixed,Wagai ,Siaya ,Female,4.0,3.2
Malele_Mixed,Wagai,Siaya ,Male,4.4,3.4
Malele_Mixed,Wagai,Siaya,Male,3.0,4.0
Malele_Mixed,Wagai ,Siaya ,Female,5.0,3.2
Malele_Mixed,Wagai ,Siaya ,Female,5.0,3.2
Malele_Mixed,Wagai ,Siaya ,Female,2.6,3.2
Malele_Mixed,Wagai ,Siaya ,Female,3.0,3.4
Malele_Mixed,Wagai ,Siaya ,Male,4.2,2.6
Malele_Mixed,Wagai ,Siaya ,Female,3.0,3.6
Malele_Mixed,Wagai ,Siaya ,Male,4.2,2.6
Malele_Mixed,Wagai ,Siaya ,Female,3.0,3.6
Malele_Mixed,Wagai ,Siaya ,Male,4.4,2.2
Malele_Mixed,Wagai ,Siaya ,Female,3.6,3.8
Malele_Mixed,Wagai ,Siaya ,Male,4.2,2.4
Malele_Mixed,Wagai ,Siaya ,Male,3.4,3.4
Malele_Mixed,Wagai ,Siaya ,Male,3.8,2.4
Malele_Mixed,Wagai ,Siaya ,Female,4.0,3.0
Malele_Mixed,Wagai ,Siaya ,Female,4.2,3.0
Malele_Mixed,Wagai ,Siaya ,Female,4.6,2.8
Malele_Mixed,Wagai ,Siaya ,Female,5.0,2.6
Malele_Mixed,Wagai ,Siaya ,Male,4.2,4.0
Malele_Mixed,Wagai ,Siaya ,Female,4.0,3.2
Malele_Mixed,Wagai ,Siaya ,Male,3.6,3.4
Malele_Mixed,Wagai ,Siaya ,Female,4.6,3.4
Malele_Mixed,Wagai ,Siaya ,Female,4.4,4.0
Malele_Mixed,Wagai ,Siaya ,Female,4.4,3.2
Malele_Mixed,Wagai ,Siaya ,Male,4.4,2.6
Malele_Mixed,Wagai ,Siaya ,Female,4.4,3.6
Malele_Mixed,Wagai ,Siaya ,Male,4.8,2.4
Malele_Mixed,Wagai ,Siaya ,Female,4.2,3.4
Malele_Mixed,Wagai ,Siaya ,Male,3.4,3.4
Malele_Mixed,Wagai ,Siaya ,Male,4.0,3.2
Malele_Mixed,Wagai ,Siaya ,Male,3.8,3.0
Malele_Mixed,Wagai ,Siaya ,Male,4.0,3.6
Malele_Mixed,Wagai ,Siaya ,Male,4.6,3.8
Malele_Mixed,Wagai ,Siaya ,Male,4.4,3.0
Malele_Mixed,Wagai ,Siaya ,Male,3.6,2.8
Malele_Mixed,Wagai ,Siaya ,Male,3.4,3.0
Malele_Mixed,Wagai ,Siaya ,Male,1.8,2.2
Malele_Mixed,Wagai ,Siaya ,Male,4.2,3.0
Malele_Mixed,Wagai ,Siaya ,Male,4.6,3.8
Malele_Mixed,Wagai ,Siaya ,Female,3.8,3.2
Malele_Mixed,Wagai ,Siaya ,Male,4.6,3.6
Malele_Mixed,Wagai ,Siaya ,Male,5.0,3.4
Malele_Mixed,Wagai ,Siaya ,Male,4.2,3.4
Malele_Mixed,Wagai ,Siaya ,Male,4.2,3.2
Malele_Mixed,Wagai ,Siaya ,Female,4.6,4.4
Malele_Mixed,Wagai ,Siaya ,Male,4.2,3.0
Malele_Mixed,Wagai ,Siaya ,Female,4.6,3.0
Malele_Mixed,Wagai ,Siaya ,Female,5.0,4.0
Malele_Mixed,Wagai ,Siaya ,Male,3.4,1.6
Malele_Mixed,Wagai ,Siaya ,Female,4.8,3.8
Malele_Mixed,Wagai ,Siaya ,Male,4.6,2.2
Malele_Mixed,Wagai ,Siaya ,Male,4.2,3.0
Malele_Mixed,Wagai ,Siaya ,Male,3.2,3.6
